Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2,Genebiotype,Genesymbol
ENSG00000119782,2,0,0,3,7,3,1,7,protein_coding,FKBP1B
ENSG00000119787,2013,2271,1674,1661,2500,834,948,2567,protein_coding,ATL2
ENSG00000119801,1947,2350,1617,1741,2042,688,419,1123,protein_coding,YPEL5
ENSG00000119812,2823,3301,3720,4333,651,173,315,892,protein_coding,FAM98A
ENSG00000119820,1068,1229,1284,1521,1062,344,384,1048,protein_coding,YIPF4
ENSG00000119844,2844,3408,2889,3112,1010,294,324,968,protein_coding,AFTPH
ENSG00000119862,2096,2418,1175,1249,438,150,194,585,protein_coding,LGALSL
ENSG00000119865,0,1,0,2,591,178,110,320,protein_coding,CNRIP1
ENSG00000119866,1,2,1,0,173,52,80,211,protein_coding,BCL11A
ENSG00000119878,521,490,549,809,207,70,69,260,protein_coding,CRIPT
ENSG00000119888,4998,5863,6305,7168,257,87,79,242,protein_coding,EPCAM
ENSG00000119899,1129,1320,648,821,561,157,145,369,protein_coding,SLC17A5
ENSG00000119900,3431,3940,2246,2098,2345,742,944,2339,protein_coding,OGFRL1
ENSG00000119906,746,921,1236,1125,2064,712,728,2022,protein_coding,SLF2
ENSG00000119912,3213,3905,3315,3318,2617,802,931,2568,protein_coding,IDE
ENSG00000119913,0,0,1,0,5,1,2,2,protein_coding,TECTB
ENSG00000119915,1,0,3,4,14,6,15,41,protein_coding,ELOVL3
ENSG00000119917,919,1136,1843,2259,309,103,135,379,protein_coding,IFIT3
ENSG00000119919,0,0,0,0,13,4,14,36,protein_coding,NKX2-3
ENSG00000119922,4002,4337,5744,6751,352,107,169,446,protein_coding,IFIT2
ENSG00000119927,1880,2337,2335,2436,1157,373,597,1530,protein_coding,GPAM
ENSG00000119929,585,687,465,564,199,48,85,252,protein_coding,CUTC
ENSG00000119938,0,1,2,0,0,0,0,0,protein_coding,PPP1R3C
ENSG00000119943,233,248,358,502,22,11,22,40,protein_coding,PYROXD2
ENSG00000119946,97,120,59,104,83,26,36,115,protein_coding,CNNM1
ENSG00000119950,7100,6822,2924,3286,3451,1246,291,812,protein_coding,MXI1
ENSG00000119953,2818,3209,2714,3543,450,136,146,488,protein_coding,SMNDC1
ENSG00000119965,291,326,312,352,135,48,90,180,protein_coding,C10orf88
ENSG00000119969,878,1187,1204,1050,781,244,364,893,protein_coding,HELLS
ENSG00000119973,1,0,0,0,0,0,0,0,protein_coding,PRLHR
ENSG00000119977,978,1095,1490,1877,810,332,465,1174,protein_coding,TCTN3
ENSG00000119979,740,781,641,816,275,102,141,307,protein_coding,DENND10
ENSG00000119986,76,68,85,187,177,81,70,222,protein_coding,AVPI1
ENSG00000120008,4308,4724,3995,4833,1828,634,619,1804,protein_coding,WDR11
ENSG00000120029,801,945,915,1138,634,247,292,742,protein_coding,ARMH3
ENSG00000120049,62,81,47,72,13,0,4,11,protein_coding,KCNIP2
ENSG00000120051,4,16,21,10,5,3,4,2,protein_coding,CFAP58
ENSG00000120053,2264,2988,3724,4811,857,247,495,1395,protein_coding,GOT1
ENSG00000120054,0,0,0,0,0,0,0,0,protein_coding,CPN1
ENSG00000120055,1,0,0,0,0,0,0,0,protein_coding,C10orf95
ENSG00000120057,0,0,0,0,0,0,0,1,protein_coding,SFRP5
ENSG00000120063,2045,2450,1892,1778,4607,1428,1265,3468,protein_coding,GNA13
ENSG00000120068,3,2,6,0,15,1,5,4,protein_coding,HOXB8
ENSG00000120071,2740,3333,2365,2710,4921,1697,896,2409,protein_coding,KANSL1
ENSG00000120075,8,24,29,16,68,21,46,113,protein_coding,HOXB5
ENSG00000120088,0,4,0,1,3,0,0,1,protein_coding,CRHR1
ENSG00000120093,55,52,53,44,292,99,161,423,protein_coding,HOXB3
ENSG00000120094,0,0,0,0,0,0,0,0,protein_coding,HOXB1
ENSG00000120129,1640,1852,702,975,1888,650,186,491,protein_coding,DUSP1
ENSG00000120137,6031,7115,4794,4471,2080,649,698,1965,protein_coding,PANK3
ENSG00000120149,233,261,270,347,126,42,71,225,protein_coding,MSX2
ENSG00000120156,1,7,1,2,18,8,2,19,protein_coding,TEK
